title:White Rice's Wishlist



//double perks
dimwishlist:item=4248569242&perks=3523296417,469285294#notes:Reconstruction,Demolitionist | Recombination
dimwishlist:item=205225492&perks=1561789734,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=205225492&perks=1561789734,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3700496672,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3700496672,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3700496672,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3700496672,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3828510309,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3828510309,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3828510309,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3828510309,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3891536761,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3891536761,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3891536761,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3891536761,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3960499185,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3960499185,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3960499185,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3960499185,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=777589557,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=777589557,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=777589557,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=777589557,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3700496672,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3700496672,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3700496672,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3700496672,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3828510309,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3828510309,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3828510309,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3828510309,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3891536761,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3891536761,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3891536761,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3891536761,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3960499185,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3960499185,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3960499185,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3960499185,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=777589557,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=777589557,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=777589557,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=777589557,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3038247973,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3038247973,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3038247973,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3824105627,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3824105627,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=3824105627,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=4049631843,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=4049631843,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=4049631843,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=1561789734,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=1561789734,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=772231794&perks=1561789734,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3700496672,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3700496672,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3700496672,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3700496672,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3828510309,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3828510309,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3828510309,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3828510309,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3891536761,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3891536761,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3891536761,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3891536761,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3960499185,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3960499185,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3960499185,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3960499185,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=777589557,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=777589557,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=777589557,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=777589557,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3700496672,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3700496672,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3700496672,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3700496672,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3828510309,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3828510309,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3828510309,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3828510309,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3891536761,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3891536761,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3891536761,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3891536761,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3960499185,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3960499185,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3960499185,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3960499185,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=777589557,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=777589557,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=777589557,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=777589557,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3038247973,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3038247973,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3038247973,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3824105627,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3824105627,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=3824105627,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=4049631843,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=4049631843,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=4049631843,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=1561789734,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=1561789734,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=1453235079&perks=1561789734,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3700496672,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3700496672,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3700496672,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3700496672,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3828510309,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3828510309,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3828510309,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3828510309,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3891536761,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3891536761,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3891536761,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3891536761,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3960499185,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3960499185,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3960499185,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3960499185,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=777589557,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=777589557,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=777589557,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=777589557,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3700496672,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3700496672,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3700496672,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3700496672,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3828510309,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3828510309,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3828510309,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3828510309,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3891536761,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3891536761,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3891536761,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3891536761,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3960499185,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3960499185,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3960499185,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3960499185,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=777589557,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=777589557,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=777589557,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=777589557,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3038247973,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3038247973,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3038247973,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3824105627,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3824105627,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=3824105627,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=4049631843,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=4049631843,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=4049631843,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=1561789734,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=1561789734,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=2883684343&perks=1561789734,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3700496672,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3700496672,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3700496672,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3700496672,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3828510309,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3828510309,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3828510309,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3828510309,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3891536761,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3891536761,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3891536761,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3891536761,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3960499185,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3960499185,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3960499185,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3960499185,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=777589557,3038247973#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=777589557,3824105627#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=777589557,4049631843#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=777589557,1561789734#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3700496672,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3700496672,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3700496672,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3700496672,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3828510309,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3828510309,3891536761#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3828510309,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3828510309,777589557#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3891536761,3700496672#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3891536761,3828510309#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
dimwishlist:item=4074251943&perks=3891536761,3960499185#notes:Kinetic Tremors,Shoot to Loot,Enlightened Action | Firefly,Explosive Payload,One for All
